"Market order: O00001, 09:30:00, BUY, 100"
"Add limit order: O02252, 10:35:20, BUY, 400, $ 33.91"
"Add limit order: O02253, 10:35:21, SELL, 500, $ 35.72"
"Add limit order: O02254, 10:35:25, SELL, 300, $ 36.16"
"Market order: O02255, 10:35:26, SELL, 100"
"Add limit order: O02256, 10:35:28, SELL, 500, $ 42.04"
"Add limit order: O02257, 10:35:30, BUY, 100, $ 31.46"
"Market order: O02258, 10:35:31, SELL, 700"
"Add limit order: O02259, 10:35:32, SELL, 500, $ 40.65"
"Market order: O02260, 10:35:34, BUY, 500"
"Add limit order: O02261, 10:35:35, BUY, 700, $ 31.42"
"Market order: O02262, 10:35:36, BUY, 400"
"Add limit order: O02263, 10:35:37, BUY, 200, $ 31.05"
"Add limit order: O02264, 10:35:39, BUY, 700, $ 34.61"
"Add limit order: O02265, 10:35:40, BUY, 400, $ 29.9"
"Add limit order: O02266, 10:35:41, SELL, 200, $ 44.1"
"Add limit order: O02267, 10:35:42, SELL, 700, $ 44.89"
"Add limit order: O02268, 10:35:43, SELL, 100, $ 42.65"
"Market order: O02269, 10:35:45, BUY, 700"
"Market order: O02270, 10:35:46, SELL, 900"
"Market order: O02271, 10:35:49, BUY, 100"
"Market order: O02272, 10:35:50, SELL, 100"
"Add limit order: O02273, 10:35:51, BUY, 500, $ 31.95"
"Add limit order: O02274, 10:35:56, SELL, 300, $ 43.93"
"Add limit order: O02275, 10:35:57, SELL, 100, $ 40.28"
"Market order: O02276, 10:35:58, SELL, 400"
"Market order: O02277, 10:35:59, BUY, 600"
"Market order: O02278, 10:36:01, SELL, 700"
"Add limit order: O02279, 10:36:02, BUY, 200, $ 31.51"
"Market order: O02280, 10:36:03, SELL, 600"
"Market order: O02281, 10:36:04, BUY, 100"
"Add limit order: O02282, 10:36:05, SELL, 600, $ 40.62"
"Market order: O02283, 10:36:07, BUY, 500"
"Market order: O02284, 10:36:09, BUY, 100"
"Add limit order: O02285, 10:36:12, SELL, 400, $ 36.64"
"Cancel: O02005, 10:28:12, BUY, 100, $ 25.13"
"Add limit order: O02286, 10:36:15, SELL, 500, $ 43.54"
"Add limit order: O02287, 10:36:16, SELL, 600, $ 41.22"
"Market order: O02288, 10:36:18, SELL, 100"
"Add limit order: O02289, 10:36:21, BUY, 600, $ 33.51"
"Market order: O02290, 10:36:23, SELL, 600"
"Add limit order: O02291, 10:36:24, SELL, 600, $ 35.73"
"Add limit order: O02292, 10:36:27, BUY, 200, $ 34.5"
"Add limit order: O02293, 10:36:28, SELL, 600, $ 43.23"
"Add limit order: O02294, 10:36:29, SELL, 600, $ 43.35"
"Add limit order: O02295, 10:36:30, BUY, 400, $ 26.12"
"Add limit order: O02296, 10:36:31, BUY, 300, $ 33.26"
"Market order: O02297, 10:36:32, BUY, 500"
"Add limit order: O02298, 10:36:34, SELL, 500, $ 36.24"
"Market order: O02299, 10:36:35, SELL, 300"
"Market order: O02300, 10:36:37, SELL, 100"
"Market order: O02301, 10:36:38, SELL, 100"
"Add limit order: O02302, 10:36:39, SELL, 300, $ 44.71"
"Add limit order: O02303, 10:36:40, BUY, 900, $ 32.77"
"Market order: O02304, 10:36:41, BUY, 500"
"Add limit order: O02305, 10:36:43, BUY, 200, $ 26.99"
"Market order: O02306, 10:36:44, SELL, 900"
"Add limit order: O02307, 10:36:45, SELL, 200, $ 40.21"
"Market order: O02308, 10:36:46, SELL, 900"
"Add limit order: O02309, 10:36:47, SELL, 500, $ 42.38"
"Market order: O02310, 10:36:48, BUY, 600"
"Add limit order: O02311, 10:36:51, BUY, 200, $ 29.02"
"Market order: O02312, 10:36:52, SELL, 600"
"Market order: O02313, 10:36:53, BUY, 300"
"Market order: O02314, 10:36:55, SELL, 300"
"Add limit order: O02315, 10:36:56, BUY, 200, $ 25.28"
"Market order: O02316, 10:36:58, SELL, 200"
"Add limit order: O02317, 10:37:00, SELL, 600, $ 37.22"
"Market order: O02318, 10:37:03, SELL, 300"
"Add limit order: O02319, 10:37:05, SELL, 200, $ 36.64"
"Add limit order: O02320, 10:37:06, BUY, 300, $ 25.17"
"Add limit order: O02321, 10:37:08, SELL, 100, $ 44.25"
"Market order: O02322, 10:37:10, BUY, 200"
"Add limit order: O02323, 10:37:11, BUY, 400, $ 32.59"
"Market order: O02324, 10:37:13, BUY, 600"
"Add limit order: O02325, 10:37:14, SELL, 100, $ 38.17"
"Add limit order: O02326, 10:37:15, BUY, 900, $ 32.78"
"Add limit order: O02327, 10:37:21, BUY, 500, $ 27.16"
"Market order: O02328, 10:37:23, BUY, 400"
"Market order: O02329, 10:37:24, BUY, 500"
"Market order: O02330, 10:37:26, SELL, 700"
"Add limit order: O02331, 10:37:27, SELL, 100, $ 41.8"
"Market order: O02332, 10:37:29, BUY, 400"
"Market order: O02333, 10:37:30, SELL, 700"
"Market order: O02334, 10:37:32, SELL, 800"
"Add limit order: O02335, 10:37:33, SELL, 400, $ 39.07"
"Market order: O02336, 10:37:35, BUY, 100"
"Add limit order: O02337, 10:37:37, SELL, 100, $ 35.94"
"Add limit order: O02338, 10:37:38, SELL, 300, $ 43.37"
"Market order: O02339, 10:37:40, SELL, 300"
"Add limit order: O02340, 10:37:41, BUY, 100, $ 25.33"
"Add limit order: O02341, 10:37:42, BUY, 200, $ 34.48"
"Market order: O02342, 10:37:46, BUY, 400"
"Add limit order: O02343, 10:37:47, SELL, 100, $ 37.96"
"Add limit order: O02344, 10:37:48, BUY, 400, $ 31.89"
"Add limit order: O02345, 10:37:50, BUY, 300, $ 25.61"
"Market order: O02346, 10:37:51, BUY, 200"
"Add limit order: O02347, 10:37:52, BUY, 300, $ 34.82"
"Add limit order: O02348, 10:37:53, BUY, 800, $ 27.59"
"Add limit order: O02349, 10:37:54, SELL, 900, $ 42.66"
"Market order: O02350, 10:37:55, SELL, 400"
"Market order: O02351, 10:37:56, SELL, 500"
"Add limit order: O02352, 10:37:58, SELL, 200, $ 41.42"
"Market order: O02353, 10:38:00, SELL, 200"
"Add limit order: O02354, 10:38:02, SELL, 100, $ 39.19"
"Market order: O02355, 10:38:03, BUY, 300"
"Market order: O02356, 10:38:04, SELL, 400"
"Market order: O02357, 10:38:05, SELL, 100"
"Market order: O02358, 10:38:06, SELL, 300"
"Market order: O02359, 10:38:08, SELL, 200"
"Market order: O02360, 10:38:09, SELL, 700"
"Add limit order: O02361, 10:38:10, SELL, 100, $ 42.1"
"Market order: O02362, 10:38:11, SELL, 400"
"Add limit order: O02363, 10:38:12, SELL, 500, $ 36.6"
"Add limit order: O02364, 10:38:15, SELL, 700, $ 40.41"
"Add limit order: O02365, 10:38:20, SELL, 400, $ 35.13"
"Market order: O02366, 10:38:21, BUY, 500"
"Market order: O02367, 10:38:23, SELL, 600"
"Add limit order: O02368, 10:38:24, BUY, 100, $ 31.15"
"Add limit order: O02369, 10:38:26, SELL, 200, $ 38.81"
"Market order: O02370, 10:38:29, SELL, 300"
"Add limit order: O02371, 10:38:30, SELL, 600, $ 35.97"
"Add limit order: O02372, 10:38:32, BUY, 500, $ 28.14"
"Add limit order: O02373, 10:38:34, BUY, 600, $ 28.29"
"Market order: O02374, 10:38:36, BUY, 200"
"Add limit order: O02375, 10:38:39, BUY, 800, $ 32.78"
"Add limit order: O02376, 10:38:40, BUY, 700, $ 30.5"
"Market order: O02377, 10:38:42, BUY, 100"
"Add limit order: O02378, 10:38:43, SELL, 100, $ 44.44"
"Market order: O02379, 10:38:44, BUY, 400"
"Add limit order: O02380, 10:38:45, BUY, 200, $ 30.68"
"Add limit order: O02381, 10:38:46, BUY, 100, $ 31.19"
"Add limit order: O02382, 10:38:48, BUY, 200, $ 33.21"
"Add limit order: O02383, 10:38:50, BUY, 300, $ 30.0"
"Market order: O02384, 10:38:52, SELL, 300"
"Add limit order: O02385, 10:38:54, SELL, 300, $ 37.17"
"Market order: O02386, 10:38:56, SELL, 700"
"Add limit order: O02387, 10:38:57, BUY, 300, $ 28.55"
"Add limit order: O02388, 10:38:59, BUY, 700, $ 28.59"
"Market order: O02389, 10:39:01, SELL, 200"
"Cancel: O00526, 09:45:16, BUY, 200, $ 27.46"
"Add limit order: O02390, 10:39:04, SELL, 400, $ 44.77"
"Add limit order: O02391, 10:39:05, SELL, 600, $ 37.18"
"Add limit order: O02392, 10:39:07, BUY, 700, $ 34.85"
"Market order: O02393, 10:39:08, BUY, 300"
"Add limit order: O02394, 10:39:10, SELL, 300, $ 43.92"
"Add limit order: O02395, 10:39:11, SELL, 800, $ 37.6"
"Add limit order: O02396, 10:39:12, BUY, 600, $ 34.05"
"Cancel: O01188, 10:04:23, BUY, 700, $ 26.8"
"Add limit order: O02397, 10:39:15, BUY, 100, $ 27.32"
"Add limit order: O02398, 10:39:18, BUY, 300, $ 30.33"
"Add limit order: O02399, 10:39:19, BUY, 300, $ 27.4"
"Add limit order: O02400, 10:39:20, BUY, 500, $ 30.28"
"Cancel: O00341, 09:39:48, BUY, 600, $ 26.23"
"Add limit order: O02401, 10:39:24, SELL, 100, $ 36.11"
"Market order: O02402, 10:39:27, SELL, 800"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Market order: O02403, 10:39:31, SELL, 100"
"Add limit order: O02404, 10:39:33, SELL, 500, $ 36.18"
"Market order: O02405, 10:39:34, SELL, 400"
"Add limit order: O02406, 10:39:35, BUY, 100, $ 29.39"
"Add limit order: O02407, 10:39:36, SELL, 100, $ 40.71"
"Add limit order: O02408, 10:39:37, BUY, 600, $ 31.48"
"Market order: O02409, 10:39:38, SELL, 600"
"Market order: O02410, 10:39:39, BUY, 800"
"Market order: O02411, 10:39:45, BUY, 900"
"Market order: O02412, 10:39:47, BUY, 500"
"Add limit order: O02413, 10:39:48, SELL, 700, $ 43.05"
"Market order: O02414, 10:39:49, SELL, 700"
"Add limit order: O02415, 10:39:50, SELL, 400, $ 44.53"
"Add limit order: O02416, 10:39:52, SELL, 300, $ 38.78"
"Add limit order: O02417, 10:39:53, SELL, 100, $ 37.14"
"Add limit order: O02418, 10:39:55, BUY, 400, $ 29.01"
"Market order: O02419, 10:39:56, SELL, 300"
"Market order: O02420, 10:39:57, BUY, 500"
"Add limit order: O02421, 10:39:58, BUY, 400, $ 31.66"
"Add limit order: O02422, 10:40:01, BUY, 400, $ 28.74"
"Market order: O02423, 10:40:03, SELL, 900"
"Add limit order: O02424, 10:40:04, SELL, 200, $ 40.24"
"Market order: O02425, 10:40:05, SELL, 500"
"Market order: O02426, 10:40:07, BUY, 100"
"Add limit order: O02427, 10:40:08, SELL, 800, $ 37.68"
"Add limit order: O02428, 10:40:09, BUY, 100, $ 25.57"
"Add limit order: O02429, 10:40:10, SELL, 100, $ 43.93"
"Market order: O02430, 10:40:12, SELL, 500"
"Add limit order: O02431, 10:40:14, SELL, 400, $ 36.06"
"Add limit order: O02432, 10:40:15, SELL, 100, $ 43.21"
"Add limit order: O02433, 10:40:17, SELL, 500, $ 40.86"
"Market order: O02434, 10:40:19, SELL, 600"
"Add limit order: O02435, 10:40:20, SELL, 400, $ 44.2"
"Market order: O02436, 10:40:21, BUY, 700"
"Add limit order: O02437, 10:40:22, SELL, 400, $ 38.09"
"Market order: O02438, 10:40:25, BUY, 200"
"Market order: O02439, 10:40:26, SELL, 700"
"Market order: O02440, 10:40:28, BUY, 100"
"Add limit order: O02441, 10:40:29, BUY, 200, $ 32.11"
"Market order: O02442, 10:40:30, BUY, 600"
"Market order: O02443, 10:40:31, BUY, 200"
"Cancel: O00129, 09:33:56, BUY, 600, $ 25.23"
"Market order: O02444, 10:40:34, BUY, 100"
"Add limit order: O02445, 10:40:36, BUY, 100, $ 25.25"
"Add limit order: O02446, 10:40:38, SELL, 100, $ 39.56"
"Add limit order: O02447, 10:40:39, BUY, 500, $ 31.46"
"Add limit order: O02448, 10:40:40, BUY, 600, $ 31.36"
"Market order: O02449, 10:40:41, SELL, 500"
"Market order: O02450, 10:40:43, SELL, 900"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O02451, 10:40:45, BUY, 900, $ 25.53"
"Market order: O02452, 10:40:46, SELL, 900"
"Add limit order: O02453, 10:40:47, SELL, 600, $ 37.06"
"Add limit order: O02454, 10:40:48, BUY, 300, $ 32.8"
"Market order: O02455, 10:40:49, BUY, 900"
"Add limit order: O02456, 10:40:50, BUY, 500, $ 32.5"
"Market order: O02457, 10:40:52, SELL, 300"
"Add limit order: O02458, 10:40:55, SELL, 400, $ 38.31"
"Cancel: O01987, 10:27:46, SELL, 500, $ 43.12"
"Market order: O02459, 10:40:58, BUY, 600"
"Add limit order: O02460, 10:40:59, BUY, 400, $ 26.67"
"Market order: O02461, 10:41:00, BUY, 400"
"Market order: O02462, 10:41:02, SELL, 300"
"Market order: O02463, 10:41:03, SELL, 300"
"Market order: O02464, 10:41:04, BUY, 100"
"Add limit order: O02465, 10:41:06, BUY, 900, $ 28.47"
"Add limit order: O02466, 10:41:07, BUY, 200, $ 26.78"
"Market order: O02467, 10:41:08, SELL, 400"
"Market order: O02468, 10:41:09, SELL, 100"
"Add limit order: O02469, 10:41:10, SELL, 300, $ 40.39"
"Add limit order: O02470, 10:41:11, SELL, 300, $ 39.38"
"Add limit order: O02471, 10:41:12, BUY, 500, $ 26.81"
"Market order: O02472, 10:41:14, SELL, 200"
"Add limit order: O02473, 10:41:17, BUY, 300, $ 27.0"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O02474, 10:41:19, BUY, 400"
"Add limit order: O02475, 10:41:20, BUY, 300, $ 27.86"
"Market order: O02476, 10:41:21, SELL, 200"
"Add limit order: O02477, 10:41:22, BUY, 100, $ 32.34"
"Add limit order: O02478, 10:41:24, BUY, 500, $ 26.01"
"Add limit order: O02479, 10:41:26, SELL, 500, $ 41.12"
"Add limit order: O02480, 10:41:27, SELL, 200, $ 41.81"
"Add limit order: O02481, 10:41:29, BUY, 400, $ 27.39"
"Add limit order: O02482, 10:41:30, BUY, 500, $ 29.63"
"Add limit order: O02483, 10:41:31, BUY, 400, $ 25.42"
"Add limit order: O02484, 10:41:32, BUY, 800, $ 30.54"
"Market order: O02485, 10:41:34, BUY, 200"
"Market order: O02486, 10:41:35, SELL, 700"
"Add limit order: O02487, 10:41:36, BUY, 600, $ 30.66"
"Market order: O02488, 10:41:37, SELL, 600"
"Market order: O02489, 10:41:38, SELL, 100"
"Add limit order: O02490, 10:41:39, SELL, 200, $ 36.82"
"Market order: O02491, 10:41:42, SELL, 500"
"Market order: O02492, 10:41:43, SELL, 700"
"Market order: O02493, 10:41:45, SELL, 700"
"Market order: O02494, 10:41:46, BUY, 200"
"Add limit order: O02495, 10:41:49, BUY, 100, $ 29.15"
"Cancel: O00761, 09:52:12, SELL, 300, $ 44.39"
"Add limit order: O02496, 10:41:53, BUY, 200, $ 26.85"
"Add limit order: O02497, 10:41:54, BUY, 500, $ 31.08"
"Market order: O02498, 10:41:55, SELL, 900"
"Market order: O02499, 10:41:58, BUY, 500"
"Add limit order: O02500, 10:41:59, BUY, 800, $ 29.72"
"Market order: O02501, 10:42:04, SELL, 500"
"Add limit order: O02502, 10:42:05, SELL, 300, $ 38.3"
"Add limit order: O02503, 10:42:06, SELL, 100, $ 40.53"
"Market order: O02504, 10:42:08, SELL, 300"
"Market order: O02505, 10:42:09, SELL, 100"
"Add limit order: O02506, 10:42:11, BUY, 400, $ 30.94"
"Add limit order: O02507, 10:42:12, SELL, 300, $ 44.49"
"Add limit order: O02508, 10:42:13, BUY, 500, $ 30.4"
"Add limit order: O02509, 10:42:14, BUY, 400, $ 25.62"
"Add limit order: O02510, 10:42:15, BUY, 700, $ 34.33"
"Market order: O02511, 10:42:17, BUY, 500"
"Cancel: O01414, 10:10:55, BUY, 400, $ 27.05"
"Add limit order: O02512, 10:42:20, SELL, 600, $ 41.35"
"Market order: O02513, 10:42:24, SELL, 400"
"Add limit order: O02514, 10:42:26, SELL, 100, $ 41.61"
"Market order: O02515, 10:42:27, BUY, 200"
"Add limit order: O02516, 10:42:28, SELL, 700, $ 40.67"
"Add limit order: O02517, 10:42:29, BUY, 900, $ 31.68"
"Market order: O02518, 10:42:30, SELL, 100"
"Market order: O02519, 10:42:31, SELL, 100"
"Cancel: O02074, 10:30:25, SELL, 500, $ 43.3"
"Market order: O02520, 10:42:34, SELL, 500"
"Market order: O02521, 10:42:37, SELL, 300"
"Add limit order: O02522, 10:42:38, BUY, 800, $ 31.78"
"Add limit order: O02523, 10:42:42, SELL, 300, $ 38.12"
"Market order: O02524, 10:42:46, BUY, 700"
"Market order: O02525, 10:42:47, SELL, 700"
"Market order: O02526, 10:42:48, SELL, 200"
"Market order: O02527, 10:42:49, SELL, 800"
"Add limit order: O02528, 10:42:50, SELL, 400, $ 41.83"
"Add limit order: O02529, 10:42:51, BUY, 300, $ 26.44"
"Cancel: O00620, 09:47:55, SELL, 600, $ 43.01"
"Add limit order: O02530, 10:42:58, SELL, 500, $ 43.14"
"Add limit order: O02531, 10:43:00, SELL, 700, $ 38.01"
"Market order: O02532, 10:43:03, SELL, 600"
"Add limit order: O02533, 10:43:04, SELL, 300, $ 40.46"
"Add limit order: O02534, 10:43:05, BUY, 700, $ 25.04"
"Market order: O02535, 10:43:07, SELL, 400"
"Add limit order: O02536, 10:43:09, BUY, 400, $ 30.14"
"Market order: O02537, 10:43:10, BUY, 100"
"Market order: O02538, 10:43:14, BUY, 600"
"Add limit order: O02539, 10:43:17, SELL, 900, $ 41.41"
"Add limit order: O02540, 10:43:19, BUY, 300, $ 25.16"
"Add limit order: O02541, 10:43:20, BUY, 700, $ 30.81"
"Market order: O02542, 10:43:22, BUY, 100"
"Add limit order: O02543, 10:43:25, BUY, 900, $ 34.03"
"Add limit order: O02544, 10:43:26, BUY, 200, $ 33.86"
"Cancel: O00900, 09:55:59, BUY, 700, $ 27.58"
"Market order: O02545, 10:43:29, BUY, 400"
"Market order: O02546, 10:43:31, BUY, 500"
"Add limit order: O02547, 10:43:32, SELL, 300, $ 43.07"
"Add limit order: O02548, 10:43:33, SELL, 500, $ 44.8"
"Add limit order: O02549, 10:43:34, BUY, 400, $ 34.3"
"Add limit order: O02550, 10:43:35, BUY, 400, $ 27.22"
"Market order: O02551, 10:43:36, SELL, 500"
"Market order: O02552, 10:43:38, SELL, 200"
"Add limit order: O02553, 10:43:39, BUY, 300, $ 34.0"
"Add limit order: O02554, 10:43:42, SELL, 200, $ 41.75"
"Add limit order: O02555, 10:43:43, BUY, 500, $ 27.99"
"Add limit order: O02556, 10:43:45, BUY, 200, $ 26.51"
"Add limit order: O02557, 10:43:48, SELL, 500, $ 35.3"
"Add limit order: O02558, 10:43:49, BUY, 300, $ 34.38"
"Market order: O02559, 10:43:51, SELL, 200"
"Market order: O02560, 10:43:53, BUY, 300"
"Add limit order: O02561, 10:43:56, BUY, 200, $ 27.65"
"Add limit order: O02562, 10:43:59, BUY, 300, $ 32.31"
"Add limit order: O02563, 10:44:02, BUY, 600, $ 29.84"
"Market order: O02564, 10:44:03, SELL, 100"
"Add limit order: O02565, 10:44:06, SELL, 100, $ 44.7"
"Add limit order: O02566, 10:44:07, SELL, 300, $ 37.1"
"Market order: O02567, 10:44:08, SELL, 400"
"Cancel: O00761, 09:52:12, SELL, 300, $ 44.39"
"Add limit order: O02568, 10:44:10, SELL, 300, $ 35.56"
"Market order: O02569, 10:44:12, BUY, 100"
"Add limit order: O02570, 10:44:15, BUY, 200, $ 33.7"
"Market order: O02571, 10:44:17, BUY, 400"
"Market order: O02572, 10:44:18, BUY, 600"
"Add limit order: O02573, 10:44:19, SELL, 100, $ 35.98"
"Add limit order: O02574, 10:44:22, SELL, 200, $ 35.17"
"Add limit order: O02575, 10:44:23, SELL, 300, $ 44.14"
"Add limit order: O02576, 10:44:24, SELL, 100, $ 38.87"
"Market order: O02577, 10:44:26, BUY, 100"
"Add limit order: O02578, 10:44:28, BUY, 500, $ 28.21"
"Market order: O02579, 10:44:29, BUY, 500"
"Market order: O02580, 10:44:30, BUY, 800"
"Market order: O02581, 10:44:31, BUY, 100"
"Market order: O02582, 10:44:35, SELL, 600"
"Add limit order: O02583, 10:44:36, BUY, 200, $ 30.32"
"Cancel: O01738, 10:20:17, BUY, 700, $ 26.29"
"Add limit order: O02584, 10:44:40, SELL, 700, $ 44.42"
"Market order: O02585, 10:44:41, BUY, 500"
"Market order: O02586, 10:44:43, BUY, 200"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Market order: O02587, 10:44:47, BUY, 300"
"Add limit order: O02588, 10:44:48, BUY, 500, $ 30.9"
"Add limit order: O02589, 10:44:49, SELL, 400, $ 40.54"
"Add limit order: O02590, 10:44:50, BUY, 800, $ 25.39"
"Add limit order: O02591, 10:44:51, BUY, 500, $ 25.25"
"Market order: O02592, 10:44:53, SELL, 300"
"Market order: O02593, 10:44:56, BUY, 600"
"Add limit order: O02594, 10:44:59, SELL, 700, $ 39.42"
"Market order: O02595, 10:45:01, BUY, 200"
"Market order: O02596, 10:45:02, SELL, 700"
"Add limit order: O02597, 10:45:03, BUY, 500, $ 31.99"
"Add limit order: O02598, 10:45:05, SELL, 500, $ 39.49"
"Add limit order: O02599, 10:45:06, BUY, 300, $ 34.0"
"Add limit order: O02600, 10:45:07, BUY, 400, $ 31.07"
"Add limit order: O02601, 10:45:08, SELL, 400, $ 41.32"
"Market order: O02602, 10:45:09, SELL, 300"
"Market order: O02603, 10:45:10, BUY, 300"
"Add limit order: O02604, 10:45:11, SELL, 300, $ 41.48"
"Add limit order: O02605, 10:45:13, BUY, 500, $ 33.55"
"Market order: O02606, 10:45:14, SELL, 500"
"Market order: O02607, 10:45:15, BUY, 300"
"Add limit order: O02608, 10:45:17, SELL, 600, $ 41.7"
"Add limit order: O02609, 10:45:18, SELL, 400, $ 38.99"
"Market order: O02610, 10:45:19, BUY, 900"
"Add limit order: O02611, 10:45:21, BUY, 800, $ 30.79"
"Market order: O02612, 10:45:23, BUY, 700"
"Add limit order: O02613, 10:45:25, BUY, 800, $ 31.73"
"Add limit order: O02614, 10:45:26, BUY, 100, $ 28.36"
"Add limit order: O02615, 10:45:28, BUY, 700, $ 26.79"
"Market order: O02616, 10:45:30, SELL, 900"
"Add limit order: O02617, 10:45:34, BUY, 200, $ 29.67"
"Add limit order: O02618, 10:45:35, SELL, 100, $ 37.71"
"Add limit order: O02619, 10:45:36, SELL, 100, $ 35.24"
"Add limit order: O02620, 10:45:38, BUY, 200, $ 26.18"
"Add limit order: O02621, 10:45:39, BUY, 200, $ 27.29"
"Add limit order: O02622, 10:45:40, SELL, 600, $ 40.71"
"Market order: O02623, 10:45:41, BUY, 300"
"Add limit order: O02624, 10:45:42, SELL, 500, $ 43.98"
"Add limit order: O02625, 10:45:43, BUY, 200, $ 28.66"
"Add limit order: O02626, 10:45:44, SELL, 400, $ 35.93"
"Market order: O02627, 10:45:45, SELL, 700"
"Market order: O02628, 10:45:46, SELL, 100"
"Add limit order: O02629, 10:45:47, SELL, 200, $ 37.51"
"Add limit order: O02630, 10:45:48, SELL, 200, $ 35.48"
"Market order: O02631, 10:45:50, BUY, 500"
"Add limit order: O02632, 10:45:52, SELL, 200, $ 42.88"
"Market order: O02633, 10:45:54, BUY, 300"
"Market order: O02634, 10:45:55, SELL, 100"
"Add limit order: O02635, 10:45:56, BUY, 800, $ 32.49"
"Add limit order: O02636, 10:45:57, BUY, 300, $ 30.48"
"Add limit order: O02637, 10:45:58, SELL, 900, $ 35.75"
"Market order: O02638, 10:45:59, BUY, 100"
"Market order: O02639, 10:46:02, SELL, 100"
"Market order: O02640, 10:46:04, SELL, 500"
"Market order: O02641, 10:46:05, SELL, 400"
"Market order: O02642, 10:46:08, SELL, 700"
"Market order: O02643, 10:46:10, BUY, 500"
"Add limit order: O02644, 10:46:11, BUY, 800, $ 34.13"
"Market order: O02645, 10:46:12, BUY, 700"
"Add limit order: O02646, 10:46:13, BUY, 500, $ 26.41"
"Cancel: O00769, 09:52:22, SELL, 300, $ 44.59"
"Add limit order: O02647, 10:46:17, SELL, 100, $ 40.06"
"Add limit order: O02648, 10:46:19, BUY, 500, $ 33.87"
"Add limit order: O02649, 10:46:20, SELL, 500, $ 39.62"
"Add limit order: O02650, 10:46:21, SELL, 300, $ 38.53"
"Add limit order: O02651, 10:46:23, SELL, 600, $ 35.59"
"Add limit order: O02652, 10:46:25, BUY, 100, $ 28.06"
"Market order: O02653, 10:46:27, SELL, 800"
"Market order: O02654, 10:46:30, BUY, 600"
